 1/1/2022, 3 9 20 26 32 $151000.00
 1/2/2022, 1 8 17 24 26 $185000.00
 1/3/2022, 8 10 27 28 37 $214000.00
 1/4/2022, 1 9 17 28 29 $255000.00
 1/5/2022, 1 16 32 34 39 $294000.00
 1/6/2022, 1 9 14 15 33 $100000.00
 1/7/2022, 7 13 17 26 38 $110000.00
 1/8/2022, 3 5 10 11 20 $100000.00
 1/9/2022, 3 14 29 35 36 $110000.00
 1/10/2022, 11 15 25 27 38 $120000.00
 1/11/2022, 17 18 25 28 31 $130000.00
 1/12/2022, 3 12 14 24 34 $140000.00
 1/13/2022, 7 15 17 23 27 $150000.00
 1/14/2022, 4 11 28 32 34 $162000.00
 1/15/2022, 2 5 12 13 24 $206000.00
 1/16/2022, 3 16 17 20 35 $237000.00
 1/17/2022, 7 9 29 34 36 $279000.00
 1/18/2022, 5 6 14 17 27 $320000.00
 1/19/2022, 8 13 17 27 33 $365000.00
 1/20/2022, 6 16 18 21 22 $100000.00
 1/21/2022, 5 14 15 20 32 $110000.00
 1/22/2022, 3 5 19 25 28 $120000.00
 1/23/2022, 11 15 21 25 32 $130000.00
 1/24/2022, 5 20 22 24 38 $140000.00
 1/25/2022, 1 5 21 28 32 $150000.00
 1/26/2022, 6 12 15 17 29 $162000.00
 1/27/2022, 9 11 16 22 31 $100000.00
 1/28/2022, 6 15 33 34 38 $110000.00
 1/29/2022, 2 7 21 32 39 $100000.00
 1/30/2022, 1 31 32 35 38 $110000.00
 1/31/2022, 7 8 9 29 35 $100000.00
 2/1/2022, 10 14 15 18 30 $110000.00
 2/2/2022, 12 27 29 31 37 $120000.00
 2/3/2022, 7 14 26 28 35 $130000.00
 2/4/2022, 1 2 19 29 36 $140000.00
 2/5/2022, 6 11 19 27 36 $150000.00
 2/6/2022, 5 24 32 37 38 $100000.00
 2/7/2022, 4 7 11 19 22 $110000.00
 2/8/2022, 3 5 9 10 24 $100000.00
 2/9/2022, 19 27 28 34 35 $110000.00
 2/10/2022, 3 7 9 20 23 $100000.00
 2/11/2022, 7 10 15 18 26 $110000.00
 2/12/2022, 17 23 36 37 38 $120000.00
